"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 02, 2019","0.8306","0.8072","0.8306","0.8051","2.87M","2.90%"
"Oct 01, 2019","0.8072","0.8115","0.8296","0.7971","2.78M","-0.53%"
"Sep 30, 2019","0.8115","0.7946","0.8172","0.7718","3.84M","2.14%"
"Sep 29, 2019","0.7945","0.8161","0.8168","0.7783","2.12M","-2.64%"
"Sep 28, 2019","0.8161","0.8178","0.8290","0.7848","2.61M","-0.20%"
"Sep 27, 2019","0.8177","0.8000","0.8253","0.7804","3.41M","2.21%"
"Sep 26, 2019","0.8000","0.8170","0.8296","0.7602","4.69M","-2.08%"
"Sep 25, 2019","0.8170","0.7884","0.8540","0.7608","4.45M","3.63%"
"Sep 24, 2019","0.7884","1.0139","1.1300","0.7022","10.98M","-22.24%"
"Sep 23, 2019","1.0139","1.0691","1.0698","1.0097","3.01M","-5.17%"
"Sep 22, 2019","1.0692","1.1155","1.1165","1.0615","2.54M","-4.15%"
"Sep 21, 2019","1.1155","1.1310","1.1427","1.1067","2.50M","-1.38%"
"Sep 20, 2019","1.1310","1.1393","1.1456","1.1079","2.84M","-0.73%"
"Sep 19, 2019","1.1393","1.1773","1.1773","1.0859","5.44M","-3.22%"
"Sep 18, 2019","1.1772","1.1058","1.2009","1.1038","5.74M","6.47%"
"Sep 17, 2019","1.1057","1.0554","1.1233","1.0516","4.39M","4.76%"
"Sep 16, 2019","1.0554","1.0451","1.0692","1.0381","3.20M","0.96%"
"Sep 15, 2019","1.0454","1.0485","1.0516","1.0433","2.46M","-0.30%"
"Sep 14, 2019","1.0485","1.0390","1.0556","1.0322","2.62M","0.89%"
"Sep 13, 2019","1.0392","1.0518","1.0542","1.0144","3.45M","-1.26%"
"Sep 12, 2019","1.0525","1.0434","1.0583","1.0248","2.26M","0.88%"
"Sep 11, 2019","1.0434","1.0654","1.0775","1.0272","3.10M","-2.07%"
"Sep 10, 2019","1.0655","1.0658","1.0910","1.0588","2.88M","-0.03%"
"Sep 09, 2019","1.0658","1.0757","1.0832","1.0394","2.63M","-0.91%"
"Sep 08, 2019","1.0756","1.0535","1.0858","1.0504","3.02M","2.07%"
"Sep 07, 2019","1.0538","1.0179","1.0730","1.0048","2.46M","3.53%"
"Sep 06, 2019","1.0179","1.0438","1.0589","1.0156","2.72M","-2.48%"
"Sep 05, 2019","1.0438","1.0691","1.0746","1.0392","1.76M","-2.37%"
"Sep 04, 2019","1.0691","1.0853","1.0880","1.0475","2.86M","-1.49%"
"Sep 03, 2019","1.0853","1.0936","1.1080","1.0720","3.09M","-0.76%"
"Sep 02, 2019","1.0936","1.0862","1.1053","1.0650","2.20M","0.68%"
"Sep 01, 2019","1.0862","1.0932","1.1032","1.0685","1.78M","-0.64%"
"Aug 31, 2019","1.0932","1.0757","1.0939","1.0578","1.87M","1.57%"
"Aug 30, 2019","1.0763","1.0617","1.0892","1.0511","2.10M","1.39%"
"Aug 29, 2019","1.0616","1.0976","1.0976","1.0295","3.41M","-3.28%"
"Aug 28, 2019","1.0976","1.1747","1.2026","1.0759","3.67M","-6.56%"
"Aug 27, 2019","1.1746","1.2301","1.2389","1.1681","1.99M","-4.50%"
"Aug 26, 2019","1.2301","1.2348","1.2772","1.2072","4.13M","-0.38%"
"Aug 25, 2019","1.2348","1.2652","1.2930","1.2317","3.92M","-2.36%"
"Aug 24, 2019","1.2646","1.2333","1.2681","1.2015","3.31M","2.63%"
"Aug 23, 2019","1.2322","1.2388","1.2556","1.2203","3.76M","-0.53%"
"Aug 22, 2019","1.2388","1.1823","1.2471","1.1585","3.91M","4.79%"
"Aug 21, 2019","1.1822","1.2227","1.2273","1.1342","3.77M","-3.31%"
"Aug 20, 2019","1.2227","1.2357","1.2458","1.2064","3.11M","-1.06%"
"Aug 19, 2019","1.2357","1.2526","1.2637","1.2088","4.50M","-1.32%"
"Aug 18, 2019","1.2523","1.2087","1.2640","1.1818","4.27M","3.58%"
"Aug 17, 2019","1.2090","1.1575","1.2107","1.1381","4.36M","4.45%"
"Aug 16, 2019","1.1575","1.1653","1.1770","1.1205","4.62M","-0.67%"
"Aug 15, 2019","1.1654","1.1571","1.1836","1.1018","6.67M","0.70%"
"Aug 14, 2019","1.1572","1.3584","1.3584","1.1143","8.55M","-14.79%"
"Aug 13, 2019","1.3581","1.3761","1.3798","1.3184","2.55M","-1.30%"
"Aug 12, 2019","1.3760","1.4257","1.4257","1.3612","2.96M","-3.60%"
"Aug 11, 2019","1.4273","1.3203","1.4399","1.3170","5.26M","8.11%"
"Aug 10, 2019","1.3203","1.3233","1.3558","1.2804","4.46M","-0.23%"
